term,coefficient,odds_ratio_per_encoded_unit,absolute_coefficient
Husband's education level_Other / infrequent,0.0,1.0,0.0
Husband’s monthly income_Other / infrequent,0.0,1.0,0.0
Total children_Other / infrequent,0.0,1.0,0.0
History of pregnancy loss_Other / infrequent,0.0,1.0,0.0
Fear of pregnancy_Other / infrequent,0.0,1.0,0.0
Family type_Other / infrequent,0.0,1.0,0.0
Relationship with the in-laws_Other / infrequent,0.0,1.0,0.0
Recieved Support_Other / infrequent,0.0,1.0,0.0
Need for Support_Other / infrequent,0.0,1.0,0.0
Major changes or losses during pregnancy_Other / infrequent,0.0,1.0,0.0
Abuse_Other / infrequent,0.0,1.0,0.0
Pregnancy length_Other / infrequent,0.0,1.0,0.0
Pregnancy plan_Other / infrequent,0.0,1.0,0.0
Regular checkups_Other / infrequent,0.0,1.0,0.0
Depression during pregnancy (PHQ2)_Other / infrequent,0.0,1.0,0.0
