births_known,county,fips,low_birth_weight,late_or_no_prenatal,prenatal_known,tobacco_known,tobacco_yes,age_15_19,age_35_plus,age_known,low_birth_weight_pct,late_or_no_prenatal_pct,tobacco_use_pct,maternal_age_15_19_pct,maternal_age_35_plus_pct,fips_st_cnty,st_name_abbrev,ahrf_county,rural_urban_continuum_code,primary_care_hpsa,population_2024,median_household_income,poverty_pct,uninsured_under65_pct,obgyn_count,midwife_count,obstetric_hospital_count,population_density,obgyn_per_100k,midwives_per_100k,obstetric_hospitals_per_100k,log_population_density,cross_validated_prediction,cross_validated_residual
7658,"Rock Island County, IL",17161,709,1808,7637,7659,496,426,1142,7655,9.258291982240793,23.67421762472175,6.476041258649954,5.564990202482038,14.918354016982365,17161,IL,"Rock Island, IL",2.0,1,142731.0,66768.0,15.4,7.4,9.0,2.0,2.0,338.4,6.305567816381865,1.4012372925293033,1.4012372925293033,5.827179352800126,9.351732144964851,-0.09344016272405753
13024,"St. Clair County, IL",17163,1475,3350,12898,12969,927,591,2158,13035,11.3252457002457,25.973019072724455,7.147814018043026,4.533947065592635,16.5554276946682,17163,IL,"St. Clair, IL",1.0,1,251149.0,70178.0,13.6,5.3,24.0,9.0,2.0,391.4,9.556080255147343,3.583530095680254,0.7963400212622787,5.972281727691208,8.91573543581534,2.409510264430361
10089,"Sangamon County, IL",17167,1219,1533,10078,10094,984,508,1723,10100,12.08246605213599,15.211351458622742,9.748365365563702,5.02970297029703,17.059405940594058,17167,IL,"Sangamon, IL",3.0,1,194345.0,74114.0,12.9,5.2,65.0,6.0,2.0,226.1,33.44567650312589,3.0872932156731587,1.0290977385577196,5.425390449111513,9.36735929694201,2.7151067551939807
6289,"Tazewell County, IL",17179,462,868,6284,6298,548,293,857,6292,7.34615996183813,13.812858052196054,8.701174976182916,4.656706929434202,13.620470438652257,17179,IL,"Tazewell, IL",2.0,1,129821.0,76704.0,8.7,5.0,5.0,3.0,0.0,203.2,3.8514570061854396,2.310874203711264,0.0,5.319099905730565,8.20439452999006,-0.8582345681519294
34360,"Will County, IL",17197,2645,6848,34040,34355,539,821,7839,34368,7.69790454016298,20.11750881316099,1.5689128220055304,2.3888500931098697,22.80900837988827,17197,IL,"Will, IL",1.0,1,708583.0,107799.0,7.0,5.9,30.0,7.0,2.0,833.1,4.233801827026615,0.9878870929728769,0.2822534551351077,6.726353299247566,7.856705316372112,-0.1588007762091319
16112,"Winnebago County, IL",17201,1605,3135,16077,16096,1376,867,2326,16110,9.961519364448858,19.49990669901101,8.548707753479125,5.381750465549349,14.438237119801366,17201,IL,"Winnebago, IL",2.0,1,283790.0,64363.0,16.0,7.1,18.0,18.0,2.0,556.2,6.342718207124987,6.342718207124987,0.7047464674583319,6.322924241905651,9.43512751619716,0.5263918482516985
25982,"Allen County, IN",18003,2398,7342,25889,25898,1411,1212,3719,25991,9.229466553767994,28.359534937618292,5.448297165804309,4.663152629756454,14.308799199722982,18003,IN,"Allen, IN",2.0,1,399295.0,68839.0,12.2,8.1,46.0,12.0,3.0,586.4,11.520304536746014,3.0052968356728735,0.7513242089182184,6.37570601876452,9.118347379882957,0.11111917388503656
7233,"Clark County, IN",18019,579,1355,7217,7231,575,273,970,7241,8.004977187888842,18.77511431342663,7.951873876365648,3.770197486535009,13.395939787322193,18019,IN,"Clark, IN",1.0,1,127479.0,72298.0,9.3,7.4,7.0,6.0,0.0,324.8,5.491100494983487,4.706657567128703,0.0,5.786283696167945,8.046308896056184,-0.04133170816734122
5358,"Delaware County, IN",18035,466,863,5365,5361,680,315,587,5359,8.697275102650243,16.085740913327122,12.684200708822981,5.877962306400448,10.953536107482739,18035,IN,"Delaware, IN",3.0,1,112951.0,56932.0,19.9,8.7,5.0,1.0,1.0,285.4,4.426698302803871,0.8853396605607742,0.8853396605607742,5.657389435086491,9.391376595378821,-0.6941014927285778
14451,"Elkhart County, IN",18039,1009,4589,14447,14419,775,811,1791,14446,6.982215763614975,31.76438014812764,5.3748526250086694,5.6140107988370485,12.397895611241866,18039,IN,"Elkhart, IN",3.0,1,207436.0,65617.0,12.5,12.8,10.0,19.0,2.0,447.0,4.820763994677876,9.159451589887965,0.9641527989355754,6.104793232414985,8.861460926303794,-1.879245162688819
